model,r2,equation
linear,0.010913,y = +0.136681x 534.69
quadratic,0.005205,y = +0.0514902x 549.063
cubic,0.009988,y = +0.100024x 544.954
exp,-0.230202,y = 71.8291 * e^(0.0011649 x)
exp2,-0.230202,y = 71.8291 * 2^(0.00168059 x)
exp3,-0.230202,y = 71.8291 * 3^(0.00106034 x)
