model,r2,equation
linear,0.016894,y = +486.536x 1.59406e+06
quadratic,-0.036339,y = -257.782x 1.71963e+06
cubic,-0.043939,y = +1191.81x 1.5969e+06
exp,-0.108184,y = 656309 * e^(0.000551232 x)
exp2,-0.108184,y = 656309 * 2^(0.00079526 x)
exp3,-0.108184,y = 656309 * 3^(0.000501753 x)
