model,r2,equation
linear,0.023896,y = +627.096x 1.72323e+06
quadratic,-0.015085,y = -63.1747x 1.83968e+06
cubic,-0.047928,y = +1469.71x 1.70989e+06
exp,-0.147695,y = 490666 * e^(0.000854131 x)
exp2,-0.147695,y = 490666 * 2^(0.00123225 x)
exp3,-0.147695,y = 490666 * 3^(0.000777463 x)
