file,cyclomatic,ir_instructions,ir_offset,num_qubits,num_gates,num_cx,num_measure,num_u1,num_u2,num_u3,depth,user_time_s,sys_time_s,cpu_time_s,max_rss_kb
cc01_ir176661.c,1.0,176664.0,0.0,144.0,8206.0,3968.0,16.0,3915.0,240.0,67.0,850.0,2.3,0.37,2.67,93284.0
cc02_ir176664.c,2.0,176667.0,0.0,306.0,44878.0,22250.0,32.0,22019.0,496.0,81.0,27385.0,39.01,0.47,39.48,131852.0
cc03_ir176667.c,3.0,176670.0,0.0,650.0,103256.0,51152.0,64.0,50597.0,1220.0,223.0,28629.0,35.85,0.56,36.410000000000004,188776.0
cc04_ir176670.c,4.0,176673.0,0.0,1370.0,220488.0,109164.0,128.0,107957.0,2724.0,515.0,46299.0,62.13,0.72,62.85,288140.0
cc05_ir176673.c,5.0,176676.0,0.0,2874.0,455824.0,225564.0,256.0,223045.0,5876.0,1083.0,95921.0,107.09,1.09,108.18,510992.0
cc06_ir176676.c,6.0,176679.0,0.0,6010.0,928304.0,459132.0,512.0,454021.0,12404.0,2235.0,166593.0,192.39,1.91,194.29999999999998,920076.0
cc07_ir176679.c,7.0,176682.0,0.0,12538.0,1876528.0,927644.0,1024.0,917317.0,26036.0,4507.0,365033.0,389.39,3.91,393.3,1974832.0
cc08_ir176682.c,8.0,176072.0,0.0,26106.0,3780912.0,1868124.0,2048.0,1847365.0,54196.0,9179.0,647753.0,940.21,8.92,949.13,3244616.0
cc09_ir176685.c,9.0,176075.0,0.0,54266.0,7603760.0,3755100.0,4096.0,3713349.0,112820.0,18395.0,1441737.0,2548.21,14.87,2563.08,6876924.0
