file,cyclomatic,ir_instructions,ir_offset,num_qubits,num_gates,num_cx,num_measure,num_u1,num_u2,num_u3,depth,user_time_s,sys_time_s,cpu_time_s,max_rss_kb
cc07_ir132933.c,7.0,132922.0,86.0,10558.0,1134606.0,557616.0,768.0,548499.0,22564.0,5159.0,214864.0,153.9,7.01,160.91,1189296.0
cc07_ir133037.c,7.0,133026.0,190.0,11182.0,1194874.0,586320.0,768.0,576319.0,24852.0,6615.0,221832.0,160.83,8.58,169.41000000000003,1264504.0
cc07_ir133187.c,7.0,133176.0,340.0,12082.0,1281799.0,627720.0,768.0,616444.0,28152.0,8715.0,231882.0,175.78,5.78,181.56,1342448.0
cc07_ir133437.c,7.0,133426.0,590.0,13582.0,1426674.0,696720.0,768.0,683319.0,33652.0,12215.0,248632.0,248.38,18.2,266.58,1135848.0
cc07_ir133737.c,7.0,133726.0,890.0,15382.0,1600524.0,779520.0,768.0,763569.0,40252.0,16415.0,268732.0,388.54,12.26,400.8,1131648.0
cc07_ir134237.c,7.0,134226.0,1390.0,18382.0,1890274.0,917520.0,768.0,897319.0,51252.0,23415.0,302232.0,598.34,20.6,618.94,1182620.0
cc07_ir134837.c,7.0,134826.0,1990.0,21982.0,2237974.0,1083120.0,768.0,1057819.0,64452.0,31815.0,342432.0,912.49,15.18,927.67,1452856.0
cc08_ir132836.c,8.0,132839.0,0.0,21050.0,2185889.0,1075000.0,1536.0,1058230.0,43200.0,7923.0,370926.0,510.04,32.8,542.84,1848848.0
cc08_ir132849.c,8.0,132852.0,13.0,21134.0,2193710.0,1078720.0,1536.0,1061840.0,43508.0,8106.0,371629.0,510.27,30.0,540.27,1823164.0
cc08_ir132880.c,8.0,132869.0,30.0,21230.0,2203274.0,1083280.0,1536.0,1066255.0,43860.0,8343.0,372936.0,521.59,32.59,554.1800000000001,1838036.0
cc08_ir132936.c,8.0,132925.0,86.0,21566.0,2235726.0,1098736.0,1536.0,1081235.0,45092.0,9127.0,376688.0,515.78,36.02,551.8,1875120.0
cc08_ir133040.c,8.0,133029.0,190.0,22190.0,2295994.0,1127440.0,1536.0,1109055.0,47380.0,10583.0,383656.0,529.29,31.9,561.1899999999999,1834280.0
cc08_ir133190.c,8.0,133179.0,340.0,23090.0,2382919.0,1168840.0,1536.0,1149180.0,50680.0,12683.0,393706.0,554.02,31.36,585.38,1959268.0
cc08_ir133440.c,8.0,133429.0,590.0,24590.0,2527794.0,1237840.0,1536.0,1216055.0,56180.0,16183.0,410456.0,593.35,29.55,622.9,1999456.0
cc08_ir133740.c,8.0,133729.0,890.0,26390.0,2701644.0,1320640.0,1536.0,1296305.0,62780.0,20383.0,430556.0,839.16,89.67,928.8299999999999,2118952.0
cc08_ir134240.c,8.0,134229.0,1390.0,29390.0,2991394.0,1458640.0,1536.0,1430055.0,73780.0,27383.0,464056.0,1145.23,181.01,1326.24,2007440.0
cc08_ir134840.c,8.0,134829.0,1990.0,32990.0,3339094.0,1624240.0,1536.0,1590555.0,86980.0,35783.0,504256.0,1557.63,249.31,1806.94,2125928.0
cc09_ir132839.c,9.0,132842.0,0.0,44090.0,4402209.0,2163256.0,3072.0,2129590.0,90560.0,15731.0,823630.0,2092.45,534.5,2626.95,3205400.0
cc09_ir132852.c,9.0,132855.0,13.0,44174.0,4410030.0,2166976.0,3072.0,2133200.0,90868.0,15914.0,824333.0,2166.0,525.51,2691.51,3204944.0
cc09_ir132883.c,9.0,132872.0,30.0,44270.0,4419594.0,2171536.0,3072.0,2137615.0,91220.0,16151.0,825640.0,1915.86,568.25,2484.1099999999997,3237064.0
cc09_ir132939.c,9.0,132928.0,86.0,44606.0,4452046.0,2186992.0,3072.0,2152595.0,92452.0,16935.0,829392.0,2010.86,582.76,2593.62,3262820.0
cc09_ir133043.c,9.0,133032.0,190.0,45230.0,4512314.0,2215696.0,3072.0,2180415.0,94740.0,18391.0,836360.0,1986.21,561.48,2547.69,3260112.0
cc09_ir133193.c,9.0,133182.0,340.0,46130.0,4599239.0,2257096.0,3072.0,2220540.0,98040.0,20491.0,846410.0,1759.91,382.59,2142.5,3305512.0
cc09_ir133443.c,9.0,133432.0,590.0,47630.0,4744114.0,2326096.0,3072.0,2287415.0,103540.0,23991.0,863160.0,2197.83,524.95,2722.7799999999997,3396412.0
cc09_ir133743.c,9.0,133732.0,890.0,49430.0,4917964.0,2408896.0,3072.0,2367665.0,110140.0,28191.0,883260.0,2293.47,486.72,2780.1899999999996,3581640.0
cc09_ir134243.c,9.0,134908,2066.0,52430,5207714,2546896,3072,2501415,121140,35191,916760,800.14,8.81,808.9499999999999,4897520
cc09_ir134843.c,9.0,135508,2666.0,56030,5555414,2712496,3072,2661915,134340,43591,956960,978.69,7.36,986.0500000000001,5056172
cc10_ir132842.c,10.0,133521,0.0,92218,8864033,4352312,6144,4285110,188864,31603,1470926,2063.73,15.92,2079.65,8525328
cc10_ir132855.c,10.0,133534,13.0,92302,8871854,4356032,6144,4288720,189172,31786,1471629,2034.17,14.13,2048.3,8536608
cc10_ir132886.c,10.0,133551,30.0,92398,8881418,4360592,6144,4293135,189524,32023,1472936,2116.44,14.15,2130.59,8533532
cc10_ir132942.c,10.0,133607,86.0,92734,8913870,4376048,6144,4308115,190756,32807,1476688,2159.31,13.69,2173.0,8548516
cc10_ir133046.c,10.0,133711,190.0,93358,8974138,4404752,6144,4335935,193044,34263,1483656,2068.54,14.03,2082.57,8584152
cc10_ir133196.c,10.0,133861,340.0,94258,9061063,4446152,6144,4376060,196344,36363,1493706,2084.9,20.57,2105.4700000000003,8615876
cc10_ir133446.c,10.0,134111,590.0,95758,9205938,4515152,6144,4442935,201844,39863,1510456,2179.77,21.73,2201.5,8669536
cc10_ir133746.c,10.0,134411,890.0,97558,9379788,4597952,6144,4523185,208444,44063,1530556,2235.29,25.41,2260.7,9140680
cc10_ir134246.c,10.0,134911,1390.0,100558,9669538,4735952,6144,4656935,219444,51063,1564056,2376.43,20.78,2397.21,9266508
cc10_ir134846.c,10.0,135511,1990.0,104158,10017238,4901552,6144,4817435,232644,59463,1604256,2616.39,21.28,2637.67,9444552
