model,r2,equation
linear,0.999999,y = +89.5681x 630.937
quadratic,0.999979,y = +89.3056x 753.849
cubic,0.999865,y = +88.938x 835.361
exp,0.351642,y = 17528.1 * e^(0.00112815 x)
exp2,0.351642,y = 17528.1 * 2^(0.00162758 x)
exp3,0.351642,y = 17528.1 * 3^(0.00102689 x)
