model,r2,equation
linear,1.000000,y = +1025.33x 8772.27
quadratic,0.999999,y = +1025.99x 8465.19
cubic,0.999993,y = +1026.92x 8259.49
exp,0.319794,y = 196708 * e^(0.00113879 x)
exp2,0.319794,y = 196708 * 2^(0.00164293 x)
exp3,0.319794,y = 196708 * 3^(0.00103657 x)
