model,r2,equation
linear,0.992552,y = +730.877x 116395
quadratic,0.985245,y = +772.238x 97029.6
cubic,0.961699,y = +662.5x 121364
exp,0.755439,y = 277724 * e^(0.000837915 x)
exp2,0.755439,y = 277724 * 2^(0.00120886 x)
exp3,0.755439,y = 277724 * 3^(0.000762703 x)
