model,r2,equation
linear,0.925883,y = +1.39156x -491.896
quadratic,0.680847,y = +0.919385x -270.815
cubic,-8.886893,y = -1.27392x 215.548
exp,-1.014014,y = 48.98 * e^(0.00182534 x)
exp2,-1.014014,y = 48.98 * 2^(0.00263341 x)
exp3,-1.014014,y = 48.98 * 3^(0.00166149 x)
