model,r2,equation
linear,1.000000,y = +7.99744x 152.517
quadratic,0.999996,y = +8.00745x 147.831
cubic,0.999975,y = +8.02154x 144.706
exp,0.466442,y = 1753.84 * e^(0.0010743 x)
exp2,0.466442,y = 1753.84 * 2^(0.00154989 x)
exp3,0.466442,y = 1753.84 * 3^(0.000977869 x)
