model,r2,equation
linear,0.623272,y = +751617x -2.0561e+06
quadratic,0.907806,y = +200740x^2 -1.45653e+06x 2.36019e+06
cubic,0.972418,y = +39550x^3 -451834x^2 +1.55323e+06x -1.03319e+06
exp,0.887238,y = 59521.7 * e^(0.471339 x)
exp2,0.887238,y = 59521.7 * 2^(0.679998 x)
exp3,0.887238,y = 59521.7 * 3^(0.429031 x)
