model,r2,equation
linear,0.603971,y = +7677.64x -21253.2
quadratic,0.898646,y = +2119.83x^2 -15640.5x 25383.1
cubic,0.970553,y = +432.949x^3 -5023.82x^2 +17306.9x -11763.9
exp,0.847087,y = 602.527 * e^(0.466282 x)
exp2,0.847087,y = 602.527 * 2^(0.672703 x)
exp3,0.847087,y = 602.527 * 3^(0.424428 x)
