model,r2,equation
linear,0.565842,y = +660817x -1.76534e+06
quadratic,0.856326,y = +187156x^2 -1.3979e+06x 2.3521e+06
cubic,0.951724,y = +44344x^3 -544520x^2 +1.97668e+06x -1.45262e+06
exp,0.741454,y = 111847 * e^(0.378395 x)
exp2,0.741454,y = 111847 * 2^(0.545909 x)
exp3,0.741454,y = 111847 * 3^(0.34443 x)
