model,r2,equation
linear,0.677662,y = +764078x -2.15126e+06
quadratic,0.944215,y = +211506x^2 -1.35098e+06x 1.72635e+06
cubic,0.994569,y = +42729.5x^3 -429437x^2 +1.34952e+06x -1.0938e+06
exp,0.934055,y = 7154.73 * e^(0.797748 x)
exp2,0.934055,y = 7154.73 * 2^(1.15091 x)
exp3,0.934055,y = 7154.73 * 3^(0.726142 x)
