model,r2,equation
linear,0.023581,y = +6.46417x 17318.8
quadratic,-0.012150,y = -0.393461x 18475.8
cubic,-0.042582,y = +14.8572x 17184.5
exp,-0.142914,y = 4767.18 * e^(0.000877533 x)
exp2,-0.142914,y = 4767.18 * 2^(0.00126601 x)
exp3,-0.142914,y = 4767.18 * 3^(0.000798765 x)
