model,r2,equation
linear,0.591151,y = +236.083x -686.487
quadratic,0.814441,y = +57.3536x^2 -394.806x 575.293
cubic,0.824582,y = +5.05347x^3 -26.0287x^2 -10.2372x 141.705
exp,0.724107,y = 5.21906 * e^(0.596478 x)
exp2,0.724107,y = 5.21906 * 2^(0.860536 x)
exp3,0.724107,y = 5.21906 * 3^(0.542937 x)
